oficina_id;nome_canonico;papeis;unidades;precisa_revisao;revisao;variantes
serrana-textil;SERRANA TEXTIL LTDA;absenteismo|eficiencia|producao|treino;;nao;;SERRANA TEXTIL LTDA | Serrana Têxtil | Serrana textil
sete-montes-empreendimentos;SETE MONTES EMPREENDIMENTOS LTDA;absenteismo|treino;;nao;;SETE MONTES EMPREENDIMENTOS LTDA
solis-confeccoes;SOLIS CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;POLO;nao;;SOLIS CONFECCOES LTDA | SOLIS CONFECCOES LTDA POLO | SOLIS CONFECÇÕES
soly-brasil;SOLY BRASIL LTDA;absenteismo|eficiencia|producao|treino;BASICO|ELABORADO;nao;;SOLY BRASIL LTDA | SOLY BRASIL LTDA - BÁSICO | SOLY BRASIL LTDA - ELABORADO | SOLY BRASIL LTDA ELABORADO
tamareira-industria-e-comercio;TAMAREIRA INDUSTRIA E COMERCIO LTDA;absenteismo|treino;;nao;;TAMAREIRA INDUSTRIA E COMERCIO LTDA
tece-costuras-e-confeccoes;TECE COSTURAS E CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;TECE COSTURAS E CONFECCOES LTDA | TECE costuras e confecções
tendencia-confeccoes;TENDENCIA CONFECCOES LTDA - ME;absenteismo|eficiencia|producao|treino;;nao;;TENDENCIA CONFECCOES LTDA - ME | TENDÊNCIA CONFECÇÕES LTDA | TENDÊNCIA CONFECÇÕES LTDA - ME
tiago-de-souza-barbosa;TIAGO DE SOUZA BARBOSA;treino;;nao;;TIAGO DE SOUZA BARBOSA
triunfo-confeccoes;TRIUNFO CONFECCOES LTDA ME;absenteismo|treino;;nao;;TRIUNFO CONFECCOES LTDA | TRIUNFO CONFECCOES LTDA ME
tropicalliz-confeccoes;TROPICALLIZ CONFECCOES LTDA;absenteismo|eficiencia|producao;;nao;;TROPICALLIZ CONFECCOES LTDA
tropicalliz;Tropicalliz;treino;;nao;;Tropicalliz
uniao-confeccoes;UNIAO CONFECCOES LTDA ME;absenteismo|eficiencia|producao|treino;;nao;;UNIAO CONFECCOES LTDA ME | UNIAO CONFECÇÕES LTDA ME | União confecções
valentino-industria-e-comercio-de-confeccoes;VALENTINO INDUSTRIA E COMERCIO DE CONFECÇÕES LTDA;absenteismo;;nao;;VALENTINO INDUSTRIA E COMERCIO DE CONFECÇÕES LTDA
vitalize-confeccoes;VITALIZE CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;VITALIZE CONFECCOES LTDA
w-a-2-confeccoes;W A 2 CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;W A 2 CONFECCOES LTDA
wa2confeccoes;WA2Confecções Ltda;treino;;nao;;WA2Confecções Ltda
zaja-confeccoes;Zaja Confecções;treino;;nao;;Zaja Confecções
confeccao-genesis;confecção Gênesis;treino;;sim;Possível duplicata de 'CONFECCOES GENESIS LTDA ME' (91%);confecção Gênesis
imdeoliveirasilva-me-hotmail-com;imdeoliveirasilva-me@hotmail.com;treino;;nao;;imdeoliveirasilva-me@hotmail.com
